"Group Name","Project","Person","Status","Due Date","Timeline","Description","Team"
"Core Code Strike Force","BL-036: Contribution validation pipeline","","Incoming","","","Add automated and manual validation stages for assistant contributions.","Core Code Strike Force"
"Core Code Strike Force","BL-041: External architecture review agent","","Incoming","","","Set up periodic external architecture, tooling, safety, and UX reviews at major milestones.","Core Code Strike Force"
"Core Code Strike Force","BL-050: Smart Detector as canonical scan enrichment layer","","Incoming","","","Make Smart Detector the canonical enrichment layer across scan-driven workflows.","Core Code Strike Force"
"Core Code Strike Force","BL-053: Resolve config-api vs ace-lambda convergence","","Incoming","","","Unify or clearly scope the competing Lambda and API surfaces for ACE and backend work.","Core Code Strike Force"
"Core Code Strike Force","BL-055: Adopt test framework with coverage reporting","","Incoming","","","Move to a more formal test framework with coverage reporting and better CI visibility.","Core Code Strike Force"
"Core Code Strike Force","BL-056: Add provider routing integration tests","","Incoming","","","Add integration coverage for provider-routing combinations and connection modes.","Core Code Strike Force"
"Core Code Strike Force","BL-057: Create knowledge system documentation","","Incoming","","","Document the knowledge system, layers, build-time flow, and current wiring.","Core Code Strike Force"
"Core Code Strike Force","BL-059: Upgrade Lambda to Node.js 22 and ARM64","","Incoming","","","Upgrade Lambda runtime and architecture for cost and performance improvements.","Core Code Strike Force"
"Core Code Strike Force","BL-060: Upgrade figma plugin typings","","Incoming","","","Update plugin typings and audit newly available Figma APIs for applicability.","Core Code Strike Force"
"Core Code Strike Force","BL-061: Standardize error handling patterns","","Incoming","","","Create and adopt shared error helpers and a more consistent error-handling pattern.","Core Code Strike Force"
"Core Code Strike Force","BL-064: Document build pipeline ordering and watch-mode gaps","","Incoming","","","Document generator ordering, watch-mode caveats, and build pipeline behavior.","Core Code Strike Force"
"Core Code Strike Force","BL-065: Archive deprecated Spring wrapper","","Incoming","","","Archive or isolate the deprecated Spring wrapper and leave clear deprecation guidance.","Core Code Strike Force"
"Core Code Strike Force","BL-066: Fix README React to Preact reference","","Incoming","","","Correct the README so it accurately reflects the stack.","Core Code Strike Force"
"Core Code Strike Force","BL-067: Remove or implement stub UI buttons","","Incoming","","","Replace placeholder About, Feedback, and Meetup buttons with real links or remove them.","Core Code Strike Force"
"Core Code Strike Force","BL-068: Clean up vendored artifacts in infra","","Incoming","","","Remove vendored and generated infra artifacts that should not live in the tracked workspace.","Core Code Strike Force"
"Core Code Strike Force","BL-069: Fix invariants.md authority link","","Incoming","","","Correct the authority link in invariants docs so it points to the right source.","Core Code Strike Force"
"Core Code Strike Force","BL-070: Explore FigmAI MCP server for external agent access","","Icebox","","","Explore an MCP server surface so external IDE agents can interact with plugin capabilities.","Core Code Strike Force"
"Core Code Strike Force","BL-071: Design multi-model routing strategy","","Icebox","","","Explore a model-routing strategy for different assistant tasks and execution types.","Core Code Strike Force"
"Core Code Strike Force","BL-072: Evaluate Claude 4.6 structured outputs for JSON flows","","Incoming","","","Evaluate constrained and structured outputs for more reliable JSON generation flows.","Core Code Strike Force"
"Core Code Strike Force","BL-073: Explore Figma Dev Mode focusedNode","","Icebox","","","Explore contextual assistant actions powered by Figma Dev Mode focused-node APIs.","Core Code Strike Force"
"Core Code Strike Force","BL-002: Placement of plugin-generated elements","","Incoming","","","Continue hardening generated element placement and remaining edge-case testing.","Core Code Strike Force"
"Core Code Strike Force","BL-003: Processing animation donut does not animate","","Incoming","","","Fix the processing and loading indicator animation so async states feel responsive.","Core Code Strike Force"
"Core Code Strike Force","BL-009: Documentation cleanup","","Incoming","","","Reduce redundancy and normalize file naming and formatting across docs.","Core Code Strike Force"
"Core Code Strike Force","BL-010: Code cleanup","","Incoming","","","Reduce redundancy and normalize structure and formatting across code.","Core Code Strike Force"
"Core Code Strike Force","BL-051: Extract main.ts monolith into focused modules","","Incoming","","","Break main.ts into more testable, focused orchestration modules.","Core Code Strike Force"
"Core Code Strike Force","BL-052: Extract ui.tsx monolith into focused components","","Incoming","","","Break ui.tsx into smaller panels and components plus shared utilities.","Core Code Strike Force"
"Core Code Strike Force","BL-062: Audit and remove dead code exports","","Incoming","","","Identify dead or reserved exports and remove or document them intentionally.","Core Code Strike Force"
"Core Code Strike Force","PLAN: SDK toolkit foundation","","Next Sprint","","","Advance the SDK and ports-first refactor so strike teams build against durable interfaces instead of internals.","Core Code Strike Force"
"Core Code Strike Force","PLAN: Internal API routing implementation","","Next Sprint","","","Advance the internal API routing and stability work already documented in implementation plans.","Core Code Strike Force"
"Core Code Strike Force","PLAN: Pre-demo cleanup","","Next Sprint","","","Execute the pre-demo cleanup items that are already broken out into a repo plan.","Core Code Strike Force"
"Core Code Strike Force","Icebox: General assistant ownership and roadmap","","Icebox","","","Hold General assistant ownership, roadmap, and rollout planning here until a dedicated team takes it on.","Core Code Strike Force"
"Core Code Strike Force","Icebox: Content Review assistant ownership and roadmap","","Icebox","","","Hold Content Review assistant ownership, roadmap, and rollout planning here until a dedicated team takes it on.","Core Code Strike Force"
"Core Code Strike Force","Icebox: Design Critique assistant ownership and roadmap","","Icebox","","","Hold Design Critique assistant ownership, roadmap, and rollout planning here until a dedicated team takes it on.","Core Code Strike Force"
"Core Code Strike Force","Icebox: Errors assistant ownership and roadmap","","Icebox","","","Hold Errors assistant ownership, roadmap, and rollout planning here until a dedicated team takes it on.","Core Code Strike Force"
"Core Code Strike Force","Icebox: Discovery Copilot assistant ownership and roadmap","","Icebox","","","Hold Discovery Copilot assistant ownership, roadmap, and rollout planning here until a dedicated team takes it on.","Core Code Strike Force"
